title,price,year,km,fuel,transmission,location,seller,link,scraped_date,brand_clean,model_clean,price_clean,mileage_clean,year_clean,location_clean,price_raw,mileage_raw,year_raw,is_price_hidden,is_mileage_hidden,is_year_hidden,age,fuel_num,trans_num,district
KIA SONET 2023 1.5 Luxury Trắng,530.000.000 đ,2023,40000 km,Xăng,Tự động,Quận Liên Chiểu(P. Liên Chiểu mới),Tư Bùi,https://xe.chotot.com/mua-ban-quan-lien-chieu-da-nang/131376661.htm#px=SR-stickyad-[PO-1][PL-top],3/29/2026 0:23,Kia,KIA SONET 1.5,530000000,40000,2023,Lien Chieu,530.000.000 đ,40000 km,2023,0,0,0,3,0,1,Quận Liên Chiểu
"Ford Escape, Bản cao cấp, xe gia đình cán bộ",295.000.000 đ,2013,10080 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),Thanh Xuân,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131072919.htm#px=SR-stickyad-[PO-1][PL-top],3/29/2026 0:23,Ford,"Ford Escape, Bản",295000000,10080,2013,Cam Le,295.000.000 đ,10080 km,2013,0,0,0,13,0,1,Quận Cẩm Lệ
Toyota Corolla Altis 2015 Bản G Trắng,399.000.000 đ,2015,105000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),LeVy,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131321766.htm#px=SR-stickyad-[PO-1][PL-top],3/29/2026 0:23,Toyota,Toyota Corolla Altis,399000000,105000,2015,Thanh Khe,399.000.000 đ,105000 km,2015,0,0,0,11,0,1,Quận Thanh Khê
Ford Ranger Wildtrak 2021 Vàng,670.000.000 đ,2021,110000 km,Dầu,Tự động,Quận Hải Châu(P. Hòa Cường mới),nguyên,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131488689.htm,3/29/2026 0:23,Ford,Ford Ranger Wildtrak,670000000,110000,2021,Hai Chau,670.000.000 đ,110000 km,2021,0,0,0,5,1,1,Quận Hải Châu
Mazda 3 Sport 2024 Luxury Xanh Cavansai,625.000.000 đ,2024,10000 km,Xăng,Tự động,Quận Thanh Khê(P. Thanh Khê mới),Mẫn,https://xe.chotot.com/mua-ban-quan-thanh-khe-da-nang/131372587.htm,3/29/2026 0:23,Mazda,Mazda 3 Sport,625000000,10000,2024,Thanh Khe,625.000.000 đ,10000 km,2024,0,0,0,2,0,1,Quận Thanh Khê
Peugeot 5008 2019 Đỏ 90000 km,589.000.000 đ,2019,90000 km,Xăng,Tự động,Quận Hải Châu(P. Hòa Cường mới),Salon Oto Bảo,https://xe.chotot.com/mua-ban-quan-hai-chau-da-nang/131486007.htm,3/29/2026 0:23,Peugeot,Peugeot Đỏ 0,589000000,90000,2019,Hai Chau,589.000.000 đ,90000 km,2019,0,0,0,7,0,1,Quận Hải Châu
"Bán Peugeot bản full 1.6 turbo, máy rin xe đẹp",325.000.000 đ,2015,101000 km,Xăng,Tự động,Quận Cẩm Lệ(P. An Khê mới),otocudanang,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/130697896.htm,3/29/2026 0:23,Peugeot,Bán Peugeot bản,325000000,101000,2015,Cam Le,325.000.000 đ,101000 km,2015,0,0,0,11,0,1,Quận Cẩm Lệ
Kia Carens 2025 Luxury 10600 km,625.000.000 đ,2025,10600 km,Xăng,Tự động,Huyện Hòa Vang(P. Hòa Xuân mới),TRƯỜNG XUÂN,https://xe.chotot.com/mua-ban-huyen-hoa-vang-da-nang/131485845.htm,3/29/2026 0:23,Kia,Kia Carens Luxury,625000000,10600,2025,Hoa Vang,625.000.000 đ,10600 km,2025,0,0,0,1,0,1,Huyện Hòa Vang
Mazda 3 2019 1.5 AT Sedan - 45000 km,440.000.000 đ,2019,45000 km,Xăng,Tự động,Quận Ngũ Hành Sơn(P. Ngũ Hành Sơn mới),Vinh,https://xe.chotot.com/mua-ban-quan-ngu-hanh-son-da-nang/130815161.htm,3/29/2026 0:23,Mazda,Mazda 3 1.5,440000000,45000,2019,Ngu Hanh Son,440.000.000 đ,45000 km,2019,0,0,0,7,0,1,Quận Ngũ Hành Sơn
Mitsubishi Attrage 2022 CVT Đỏ 80.000 km,327.000.000 đ,2022,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484209.htm,3/29/2026 0:23,Mitsubishi,Mitsubishi Attrage CVT,327000000,80000,2022,Cam Le,327.000.000 đ,80000 km,2022,0,0,0,4,0,1,Quận Cẩm Lệ
Mazda 3 2004 Bạc,155.000.000 đ,2004,100000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300891.htm,3/29/2026 0:23,Mazda,Mazda 3 Bạc,155000000,100000,2004,Cam Le,155.000.000 đ,100000 km,2004,0,0,0,22,0,1,Quận Cẩm Lệ
Hyundai i10 2019 Đỏ 80.000km,320.000.000 đ,2019,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484124.htm,3/29/2026 0:23,Hyundai,Hyundai i10 Đỏ,320000000,80000,2019,Cam Le,320.000.000 đ,80000 km,2019,0,0,0,7,0,1,Quận Cẩm Lệ
Toyota Vios 2018 E CVT 91349 km,320.000.000 đ,2018,91349 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484057.htm,3/29/2026 0:23,Toyota,Toyota Vios E,320000000,91349,2018,Cam Le,320.000.000 đ,91349 km,2018,0,0,0,8,0,1,Quận Cẩm Lệ
Mitsubishi Mirage 2018 Số sàn 77000 km,199.000.000 đ,2018,77000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131484014.htm,3/29/2026 0:23,Mitsubishi,Mitsubishi Mirage Số,199000000,77000,2018,Cam Le,199.000.000 đ,77000 km,2018,0,0,0,8,0,0,Quận Cẩm Lệ
Hyundai i10 2020 Base Trắng 9 vạn,235.000.000 đ,2020,90000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300609.htm,3/29/2026 0:23,Hyundai,Hyundai i10 Base,235000000,90000,2020,Cam Le,235.000.000 đ,90000 km,2020,0,0,0,6,0,0,Quận Cẩm Lệ
Kia Cerato 2010 1.6 AT Trắng,235.000.000 đ,2010,120000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483828.htm,3/29/2026 0:23,Kia,Kia Cerato 1.6,235000000,120000,2010,Cam Le,235.000.000 đ,120000 km,2010,0,0,0,16,0,1,Quận Cẩm Lệ
Toyota Avanza Premio 2023 Trắng 60.000 km,450.000.000 đ,2023,60000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483737.htm,3/29/2026 0:23,Toyota,Toyota Avanza Premio,450000000,60000,2023,Cam Le,450.000.000 đ,60000 km,2023,0,0,0,3,0,0,Quận Cẩm Lệ
Mitsubishi Attrage 2022 MT 77.000 km,265.000.000 đ,2022,77000 km,Xăng,Số sàn,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131483657.htm,3/29/2026 0:23,Mitsubishi,Mitsubishi Attrage MT,265000000,77000,2022,Cam Le,265.000.000 đ,77000 km,2022,0,0,0,4,0,0,Quận Cẩm Lệ
Mazda 2 2017 Luxury Xám xanh,315.000.000 đ,2017,80000 km,Xăng,Tự động,Quận Cẩm Lệ(P. Hòa Xuân mới),PHÚC VÂN AUTO,https://xe.chotot.com/mua-ban-quan-cam-le-da-nang/131300837.htm,3/29/2026 0:23,Mazda,Mazda 2 Luxury,315000000,80000,2017,Cam Le,315.000.000 đ,80000 km,2017,0,0,0,9,0,1,Quận Cẩm Lệ
